,0,1,2
108,108加上的,海亮集团有限公司加上的,14016131加上的
109,109加上的,中国航空油料集团公司加上的,13889299加上的
110,110加上的,美的集团股份有限公司加上的,13844123加上的
111,111加上的,万洲国际有限公司加上的,13772276加上的
112,112加上的,首钢总公司加上的,13520063加上的
113,113加上的,恒大地产集团有限公司加上的,13313000加上的
114,114加上的,泰康人寿保险股份有限公司加上的,13231325加上的
115,115加上的,上海烟草集团有限责任公司加上的,13183197加上的
116,116加上的,黑龙江北大荒农垦集团总公司加上的,13133564加上的
117,117加上的,厦门建发集团有限公司加上的,13056886加上的
118,118加上的,鞍钢集团公司加上的,12970755加上的
119,119加上的,上海建工集团股份有限公司加上的,12543070加上的
120,120加上的,天津中环电子信息集团有限公司加上的,12152383加上的
121,121加上的,百联集团有限公司加上的,11983899加上的
122,122加上的,上海东浩兰生国际服务贸易(集团)有限公司加上的,11894329加上的
123,123加上的,天津百利机械装备集团有限公司加上的,11866099加上的
124,124加上的,陕西有色金属控股集团有限责任公司加上的,11617681加上的
125,125加上的,万向集团公司加上的,11535989加上的
126,126加上的,山东大王集团有限公司加上的,11269181加上的
127,127加上的,中国南方航空集团公司加上的,11220561加上的
128,128加上的,中国航空集团公司加上的,11111975加上的
129,129加上的,中国太平保险集团有限责任公司加上的,11109118加上的
130,130加上的,中国黄金集团公司加上的,11074589加上的
131,131加上的,天津渤海化工集团有限责任公司加上的,11008975加上的
132,132加上的,三胞集团有限公司加上的,10806963加上的
133,133加上的,上海医药集团股份有限公司加上的,10551659加上的
134,134加上的,华夏银行股份有限公司加上的,10514829加上的
135,135加上的,新疆广汇实业投资（集团）有限责任公司加上的,10503738加上的
136,136加上的,TCL集团股份有限公司加上的,10457948加上的
137,137加上的,国家开发投资公司加上的,10423958加上的
138,138加上的,天津渤海轻工投资集团有限公司加上的,10381541加上的
139,139加上的,红塔烟草（集团）有限责任公司加上的,10338809加上的
140,140加上的,腾讯控股有限公司加上的,10286300加上的
141,141加上的,厦门国贸控股有限公司加上的,10261615加上的
142,142加上的,太平人寿保险有限公司加上的,10224880加上的
143,143加上的,山东钢铁集团有限公司加上的,10210768加上的
144,144加上的,武汉钢铁（集团）公司加上的,10183092加上的
145,145加上的,江苏悦达集团有限公司加上的,10181297加上的
146,146加上的,四川长虹电子控股集团有限公司加上的,10149949加上的
147,147加上的,兖矿集团有限公司加上的,10123468加上的
148,148加上的,阿里巴巴集团控股有限公司加上的,10114300加上的
149,149加上的,酒泉钢铁（集团）有限责任公司加上的,10085673加上的
150,150加上的,中兴通讯股份有限公司加上的,10018639加上的
151,151加上的,中天钢铁集团有限公司加上的,10016316加上的
152,152加上的,大冶有色金属集团控股有限公司加上的,10012809加上的
153,153加上的,海信集团有限公司加上的,9901646加上的
154,154加上的,珠海格力电器股份有限公司加上的,9774514加上的
155,155加上的,中国东方航空集团公司加上的,9706848加上的
156,156加上的,上海电气（集团）总公司加上的,9652138加上的
157,157加上的,安徽海螺集团有限责任公司加上的,9307035加上的
158,158加上的,红云红河烟草（集团）有限责任公司加上的,9287350加上的
159,159加上的,武汉商联（集团）股份有限公司加上的,9132400加上的
160,160加上的,太原钢铁（集团）有限公司加上的,9083529加上的
161,161加上的,山东省商业集团有限公司加上的,9070000加上的
162,162加上的,广厦控股集团有限公司加上的,8971015加上的
163,163加上的,北京银行加上的,8787567加上的
164,164加上的,青山控股集团有限公司加上的,8768949加上的
165,165加上的,山西煤炭进出口集团有限公司加上的,8524164加上的
166,166加上的,广西投资集团有限公司加上的,8516053加上的
167,167加上的,南山集团有限公司加上的,8222167加上的
168,168加上的,中国中煤能源集团有限公司加上的,8204392加上的
169,169加上的,盛虹控股集团有限公司加上的,8180421加上的
170,170加上的,湖北宜化集团有限责任公司加上的,8103725加上的
171,171加上的,潍柴控股集团有限公司加上的,8065115加上的
172,172加上的,浙江荣盛控股集团有限公司加上的,8060568加上的
173,173加上的,北大方正集团有限公司加上的,8051129加上的
174,174加上的,浙江省兴合集团有限责任公司加上的,8019763加上的
175,175加上的,比亚迪股份有限公司加上的,8000897加上的
176,176加上的,协鑫(集团)控股有限公司加上的,7978687加上的
177,177加上的,浙江恒逸集团有限公司加上的,7940567加上的
178,178加上的,浙江中烟工业有限责任公司加上的,7861183加上的
179,179加上的,杭州钢铁集团公司加上的,7769455加上的
180,180加上的,晋能集团有限公司加上的,7702583加上的
181,181加上的,本钢集团有限公司加上的,7700058加上的
182,182加上的,陕西东岭工贸集团股份有限公司加上的,7611371加上的
183,183加上的,长城汽车股份有限公司加上的,7603314加上的
184,184加上的,中国华融资产管理股份有限公司加上的,7538576加上的
185,185加上的,三一集团有限公司加上的,7505031加上的
186,186加上的,超威电源有限公司加上的,7497736加上的
187,187加上的,广州医药集团有限公司加上的,7485668加上的
188,188加上的,紫金矿业集团股份有限公司加上的,7430357加上的
189,189加上的,徐州工程机械集团有限公司*加上的,7394093加上的
190,190加上的,中国中材集团有限公司加上的,7296911加上的
191,191加上的,天能电池集团有限公司加上的,7239327加上的
192,192加上的,西安迈科金属国际集团有限公司加上的,7100414加上的
193,193加上的,清华控股有限公司加上的,7053898加上的
194,194加上的,北京控股集团有限公司加上的,7043436加上的
195,195加上的,广西建工集团有限责任公司加上的,7008182加上的
196,196加上的,南通三建控股有限公司加上的,6882735加上的
197,197加上的,新希望集团有限公司加上的,6824439加上的
198,198加上的,山东黄金集团有限公司加上的,6819803加上的
199,199加上的,陕西建工集团有限公司加上的,6810634加上的
200,200加上的,河北新华联合冶金控股集团有限公司加上的,6797096加上的
